id,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10
481,321665024,8330600,316.803,8,8,0,4,16,0,1
132,84999768,32019576,84.256,8,8,0,4,16,0,2
174,91028108,35061064,90.121,9,9,0,4,16,0,0
486,328684406,63004272,324.972,8,8,0,4,16,0,2
127,96331080,49541520,95.5,12,12,0,4,16,0,1
73,939860,1676904,0.983,12,12,0,4,16,0,1
447,345186203,74052504,340.657,9,9,0,4,16,0,0
374,259143036,65394272,256.164,8,8,0,4,16,0,1
401,340999177,100086192,336.809,12,12,0,4,16,0,2
45,794778,2157608,0.831,12,12,0,4,16,0,1
320,254614271,94062544,252.476,9,9,0,4,16,0,0
216,169097856,74118040,167.659,8,8,0,4,16,0,1
494,350613286,19230344,346.218,8,8,0,4,16,0,2
180,89753143,54432296,88.988,12,12,0,4,16,0,2
224,180028771,42268584,177.649,9,9,0,4,16,0,0
461,338643914,56968384,334.116,12,12,0,4,16,0,0
354,250400330,47892360,248.013,8,8,0,4,16,0,1
400,259400601,89799968,256.867,8,8,0,4,16,0,1
357,261812490,16174336,258.752,8,8,0,4,16,0,2
342,256974906,58272312,253.876,8,8,0,4,16,0,1
311,271416000,31826144,267.597,8,8,0,4,16,0,1
384,253113268,52739992,250.018,12,12,0,4,16,0,2
268,186894236,47660832,184.466,12,12,0,4,16,0,2
92,790214,1517240,0.826,12,12,0,4,16,0,2
232,180349877,59911240,178.273,12,12,0,4,16,0,1
175,89991024,67808528,89.154,9,9,0,4,16,0,0
350,270506787,79405176,266.923,9,9,0,4,16,0,0
83,789685,1876560,0.829,12,12,0,4,16,0,0
317,254411488,36775032,251.431,12,12,0,4,16,0,0
234,166983524,10940032,164.558,8,8,0,4,16,0,1
16,880640,1588632,0.917,8,8,0,4,16,0,2
165,88353313,54489128,87.654,8,8,0,4,16,0,1
496,342240458,78204728,337.632,12,12,0,4,16,0,1
480,354401497,50881752,350.144,8,8,0,4,16,0,1
235,176542136,13111528,174.454,8,8,0,4,16,0,2
98,882176,1667856,0.918,8,8,0,4,16,0,2
303,275870403,32228192,272.217,12,12,0,4,16,0,1
25,884169,1830704,0.908,12,12,0,4,16,0,2
473,343593990,39789920,339.007,8,8,0,4,16,0,1
261,180480318,82152672,178.951,12,12,0,4,16,0,2
294,172987383,6768360,170.347,9,9,0,4,16,0,0
324,273445664,16383176,269.169,9,9,0,4,16,0,0
325,247555630,36140944,244.397,12,12,0,4,16,0,1
211,181147451,33604680,178.755,9,9,0,4,16,0,0
86,887535,1569328,0.924,8,8,0,4,16,0,2
214,170471745,37233416,168.118,8,8,0,4,16,0,2
240,176112221,65344944,173.92,12,12,0,4,16,0,2
137,84145168,49198320,83.39,12,12,0,4,16,0,2
280,167505194,26839632,165.277,9,9,0,4,16,0,0
352,240451944,11600304,236.743,12,12,0,4,16,0,2
181,82821947,43167032,81.91,12,12,0,4,16,0,1
291,156909906,10541480,154.684,12,12,0,4,16,0,1
104,89142224,59766056,88.432,12,12,0,4,16,0,0
489,342134248,96552064,337.837,12,12,0,4,16,0,1
157,82368500,28165224,81.637,12,12,0,4,16,0,1
312,252276891,27144648,249.16,12,12,0,4,16,0,2
9,792383,1736520,0.83,12,12,0,4,16,0,2
101,91154575,56090224,90.483,12,12,0,4,16,0,1
332,235515017,44741096,232.481,12,12,0,4,16,0,1
206,168187742,39067328,166.057,12,12,0,4,16,0,1
323,262325058,30230840,258.697,8,8,0,4,16,0,2
274,166119292,30815752,164.691,8,8,0,4,16,0,1
386,263932810,76646056,261.573,8,8,0,4,16,0,1
225,173363992,51480616,171.781,12,12,0,4,16,0,2
128,99787013,42405408,98.829,9,9,0,4,16,0,0
118,85417258,41358608,84.742,9,9,0,4,16,0,0
151,84265391,44001424,83.517,8,8,0,4,16,0,1
31,482109,1804664,0.505,8,8,0,4,16,0,1
120,93222581,48165968,92.505,8,8,0,4,16,0,1
177,88744789,45026416,87.989,9,9,0,4,16,0,0
47,775952,1696624,0.813,8,8,0,4,16,0,1
63,803294,1696696,0.84,8,8,0,4,16,0,1
391,245654179,56222984,242.197,12,12,0,4,16,0,1
347,253501816,12534960,249.697,9,9,0,4,16,0,0
1,785724,2113960,0.823,8,8,0,4,16,0,1
485,341682020,34419968,336.29,8,8,0,4,16,0,1
4,700771,1854488,0.727,8,8,0,4,16,0,1
491,361849472,46218880,357.125,9,9,0,4,16,0,0
11,910773,1970224,0.959,12,12,0,4,16,0,0
200,82906728,33746240,82.086,12,12,0,4,16,0,1
327,263989484,45739832,260.95,12,12,0,4,16,0,2
